"","Variable_name","Family","Exposure","estCI","p_value","p_value_FDR"
"1","hs_detp_adj_log2_iqr","OP Pesticides","DETP","1.11 (1.00; 1.24)","0.054","0.106"
"2","hs_pfos_m_log2_iqr","PFASs","PFOS","0.92 (0.85; 0.99)","0.036","0.072"
