"","hs_cotinine_adj_ln_iqr","hs_as_m_log2_iqr","hs_cd_m_log2_iqr","hs_co_m_log2_iqr","hs_cs_m_log2_iqr","hs_cu_m_log2_iqr","hs_hg_m_log2_iqr","hs_mn_m_log2_iqr","hs_mo_m_log2_iqr","hs_pb_m_log2_iqr","hs_dde_adj_log2_iqr","hs_ddt_adj_log2_iqr","hs_hcb_adj_log2_iqr","hs_pcb118_adj_log2_iqr","hs_pcb138_adj_log2_iqr","hs_pcb153_adj_log2_iqr","hs_pcb170_adj_log2_iqr","hs_pcb180_adj_log2_iqr","hs_dep_adj_log2_iqr","hs_detp_adj_log2_iqr","hs_dmdtp_adj_log2_iqr","hs_dmp_adj_log2_iqr","hs_dmtp_adj_log2_iqr","hs_pbde153_adj_log2_iqr","hs_pbde47_adj_log2_iqr","hs_pfhxs_m_log2_iqr","hs_pfna_m_log2_iqr","hs_pfoa_m_log2_iqr","hs_pfos_m_log2_iqr","hs_pfunda_m_log2_iqr","hs_bpa_adj_log2_iqr","hs_bupa_adj_log2_iqr","hs_etpa_adj_log2_iqr","hs_mepa_adj_log2_iqr","hs_oxbe_adj_log2_iqr","hs_prpa_adj_log2_iqr","hs_trcs_adj_log2_iqr","hs_mbzp_adj_log2_iqr","hs_mecpp_adj_log2_iqr","hs_mehhp_adj_log2_iqr","hs_mehp_adj_log2_iqr","hs_meohp_adj_log2_iqr","hs_mep_adj_log2_iqr","hs_mibp_adj_log2_iqr","hs_mnbp_adj_log2_iqr","hs_ohminp_adj_log2_iqr","hs_oxominp_adj_log2_iqr","cohortBiB","cohortINMA","cohortKANC","cohortRHEA","smokingYes","mother_bmiUnderweight","mother_bmiOverweight","mother_bmiObesity","mother_age","mother_eduSecondary","mother_edu>=University","parity1_child","parity2_or_more_children","conception_trimApril-June","conception_trimJuly-Sept","conception_trimOct-Dec","mother_workEmployed","child_age","sexMale"
"1",0,0,0.0787581716036467,0.138260034628046,0,-0.0471773549194714,0,-0.0064438527779703,0,0,-0.0132015749977453,-0.0236519522468847,-0.00928400534181055,-0.0493231743427602,0,0,0,0,0.0191032277841651,0,0,0,0.0101042259741808,0.0591924765678334,-0.0430159236984936,0,0,0,0,-0.0388625475510484,0.0178701975523993,0,-0.00695379675093719,0,0.0148879611433281,-0.0288071133501898,0.0392501900036233,0,0,0,0,0,0,0,0.0413986902733921,-0.0127974415535227,0,-1.33171293270751,0.105368859255777,-0.180477518313856,-0.0183545600911373,0.102310359260022,-0.560895719766156,-0.0437317286633644,0.0881066898853275,-0.00824970192684871,-0.180977207436854,-0.272736423574412,-0.0220413087875311,-0.0407047838668571,0.00386929570597519,-0.0012704955823683,0.0648707705942097,-0.241123818953296,-0.0994470707018539,0.185901790611095
"2",0,0,0,0,0,-0.029305459888432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19803719453146,0.0356132760030992,-0.21793539097143,0.0696007616266972,0.186068490989596,-0.427892554405237,-0.0153331352951025,0.109241873281689,-0.0097891997303385,-0.164558665841859,-0.248473489528808,-0.0189928923629351,0.0398638601606456,-0.005212962320333,-0.0372997213868246,0.0148553459885529,-0.183011361995215,-0.105797165423837,0.20147935842385
"3",0,0,0,0.0554625450903966,0,-0.049837340774416,0,0,0,0.0483624512247071,0,-0.0468081075242226,-0.0207765629687272,0,0,0,-0.00711273546820306,0,0,0,0,0,0.00191519952697945,0,-0.00332639842012212,0,0,0,0,-0.0666927823332932,0.0162286540682415,-0.00849899445243512,0,0,0,0,0,0,0,0,0,0,0,0,0.0275731506089874,0.00148266558407388,0,-1.31208426417685,0.119173323070738,-0.11267067756988,0.0663676225044256,0.151902155023623,-0.443936978345765,-0.0316339492127414,0.104189999030336,-0.00814200459216979,-0.159632164713265,-0.251828114969755,-0.0443550927150826,-0.00322546565704295,0.0108804828370125,-0.0202902496104084,0.0156306116305361,-0.23560002500309,-0.081122777272412,0.209044080605682
"4",0,0,0,0.0855207541954994,-0.0347861790226695,-0.0343866708226625,0,-0.0528466435886015,0,0,-0.00413055493114007,-0.0168724277229314,-0.00154804200042555,-0.046268043141483,-0.0250585556289187,0,0,0,0,0,0,0.0138468013764935,0,0,0,0,0,0,0,-0.0363121912178622,0.0157714658211013,0,0,0,0.000573337684654707,-0.0266120683754775,0,0,0,0,0,0,0,0,0.0373450058518228,0,0,-1.31528243905421,0.0738582649349562,-0.204696861522446,0.0558392514541039,0.210789225564178,-0.541475553570628,-0.0148052768899476,0.11719008746269,-0.00701146510779089,-0.153139189844652,-0.240792526228064,-0.0259570317848647,-0.0124725830754155,-0.00595707524691555,-0.0170054989010014,0.0331806123004822,-0.197021629405673,-0.0837246920460382,0.205699851319583
"5",0,0,0.0119748167829084,0,-0.018806447910835,-0.0897452599130477,-0.018173037194869,0,-0.00451773181109247,0,-0.00600624306856774,-0.0390497212705026,0,0,0,0,-0.0138951741291986,0,0,0,0,0,0,-0.00493613667707522,-0.0646072898931077,0,0,0,0,-0.0571891371466075,0.021963352554972,0,0,0,0,-0.0334283773370688,0,0,0,-0.0200577983546262,0,0,0.00975593814364632,0,0.0278627181264337,0,0,-1.30952016325943,0.084716268497718,-0.0842284132056695,0.0847435147823066,0.176885983391613,-0.457754568569288,-0.00614948045467143,0.114609295459836,-0.00721731068694759,-0.11521515868605,-0.22841675823143,-0.0433854263691642,-0.00747051775098658,-0.00152311330242373,-0.0195439267106805,0.0208485743299813,-0.177646703000694,-0.0702574523775128,0.203516956965533
"6",0,0,0.00238656130649655,0,-0.0282994336606076,-0.0679735796949668,0,0,0,0,0,-0.0496502305630761,0,0,0,0,0,0,0,0,0,0,0.00497790687512785,0,-0.0351888553394291,0,0,0,0,-0.0253941856742959,0.0161179003193364,0,-0.00848497785211101,0,0,0,0,0,0,0,0,0,0,0,0.0174085653379343,0,0,-1.27576560302623,0.0749747433483616,-0.141916508322704,0.114911974650203,0.170205741180799,-0.483290206074794,-0.0328234938116463,0.106219406350706,-0.00935302328973134,-0.197772496033412,-0.279637220873223,-0.0240442797598541,0.023466231417822,0.0022800429939886,-0.0410049013028127,0.0295169276282365,-0.181487514013703,-0.084572908681239,0.207913947542308
"7",0,0,0.0274252794943331,0.0421226552122356,-0.065700191909586,-0.0849796770648738,0,0,0,0.046182835890867,0,-0.0562633256449738,-0.0354219341752337,0,-0.00773089914597929,0,0,0,0.000999221007490957,0,0,0,0.0018929813624561,0,-0.0450115641829974,0,0,0,0,-0.0101172618031706,0.0303127006723423,-0.010040744146145,0,0,0.0160091430360458,-0.0100478809071058,0.000856470753705692,0,0,0,0,-0.0397857645944461,0,0,0.0614051579858018,0,0.0212152987934452,-1.29287536143647,0.0721968131892647,-0.199858723731885,0.0638055759871598,0.177535288813822,-0.492958979267746,-0.0220250479792231,0.114495404489723,-0.00663099274358879,-0.141690281113411,-0.219875233387671,-0.0407891528231658,-0.00347563067037514,0.00342897022060256,0.000957504381421097,0.0120546214900016,-0.220332526598659,-0.108303215206424,0.194674417382265
"8",0,0,0,0.0963944847442195,-0.00543449477131296,-0.12022478061706,-0.0258439889204659,-0.0116470423221147,0,0,0,-0.0156230603781466,-0.01275072502179,-0.0701747241249365,0,0,0,0,0,0,0.00601178147704856,0,0,0,-0.0325603083620974,0,0,0.00741560561526891,0,-0.0385448011156789,0.0513149505904727,0,0,-0.0105540394984133,0,0,0,0,0,0,0,0,0,0,0.024586008165748,0,0,-1.34095824070063,0.0661211820818917,-0.20772223930162,0.065183779408506,0.180802736836531,-0.481807219663519,-0.0270498299303961,0.14456397905667,-0.00563105044280009,-0.155025313797065,-0.252380962877231,-0.0576381486980004,-0.0291848024463055,-0.0469034234939258,-0.0506521858893404,0.0109277199409393,-0.237917753051679,-0.0967512512878871,0.194628822412889
"9",0,0,0,0,0,-0.017949745746224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179027573402627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18599375739272,0.0382477500985249,-0.210844827728487,0.0636878952065645,0.18257443149767,-0.42830465877885,-0.017400013491409,0.0880416601020475,-0.0101945014882209,-0.162041207215305,-0.25959491701909,-0.00924289996493975,0.0482535960555136,0.00133115521688633,-0.033094490850308,0.0222139219832212,-0.179625405321002,-0.101997120374106,0.205857070524379
"10",0,0,0.0890941796424052,0.06289323744849,0,-0.0310142088853185,-0.010488323664147,-0.00975377903981797,0.0105904772435855,0.0733702271222236,0,-0.105892643080313,-0.0313580996720472,-0.0352338057363341,0,0,0,0,0.00739922530331847,0,0,0.015976554574678,0.00200491936830343,0.02159966213946,-0.018850248532046,0,0,0,0,-0.0133688881396765,0.0312706130700638,0,-0.031545037735114,0,0.0235395791326118,-0.0251021860014984,0.0619344450542962,0,0.0384729379181728,0,0,-0.0625082106442134,0,0,0.0446687915402347,0,0.0370420734928001,-1.36409582082715,0.101088589988913,-0.240494661614134,0.075916028848529,0.0935393746938157,-0.466486885322863,-0.000747296653207559,0.12306343241664,-0.0136680701105151,-0.186984097165301,-0.245831399224009,-0.0331865733497883,-0.00105319425719841,0.0430761696507639,-0.0168488682793335,-0.0106477390081209,-0.211148835898192,-0.121287041672245,0.213237329028178
