"","Description","Family","estCI","p_value"
"1","Bisphenol A (BPA)","Phenols","1.06 (1; 1.12)",0.043
"2","Cobalt (Co)","Metals","1.11 (0.98; 1.25)",0.088
"3","Copper (Cu)","Metals","0.9 (0.82; 0.98)",0.022
